"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","5 out of 5","2 out of 5","3 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"13","4 out of 5","3 out of 5","3 out of 5 stars","0"
"3",1,"Drake Maye",NE,"11","5 out of 5","2 out of 5","2 out of 5 stars","0"
"4",2,"Joe Burrow",CIN,"6","4 out of 5","3 out of 5","3 out of 5 stars","0"
"5",2,"Jayden Daniels",WAS,"7","4 out of 5","4 out of 5","2 out of 5 stars","0"
"6",2,"Jalen Hurts",PHI,"10","4 out of 5","4 out of 5","5 out of 5 stars","0"
"7",2,"Caleb Williams",CHI,"10","5 out of 5","2 out of 5","3 out of 5 stars","0"
"8",2,"Justin Herbert",LAC,"7","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"9",3,"Trevor Lawrence",JAC,"7","5 out of 5","2 out of 5","4 out of 5 stars","+2"
"10",3,"Dak Prescott",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","-2"
"11",3,"Jaxson Dart",NYG,"8","5 out of 5","4 out of 5","4 out of 5 stars","-1"
"12",3,"Brock Purdy",SF,"8","4 out of 5","2 out of 5","1 out of 5 stars","+2"
"13",3,"Bo Nix",DEN,"10","4 out of 5","2 out of 5","3 out of 5 stars","+2"
"14",3,"Patrick Mahomes II",KC,"5","3 out of 5","4 out of 5","2 out of 5 stars","-1"
"15",4,"Matthew Stafford",LAR,"11","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"16",4,"Jared Goff",DET,"6","4 out of 5","2 out of 5","5 out of 5 stars","0"
"17",4,"Kyler Murray",MIN,"6","4 out of 5","3 out of 5","5 out of 5 stars","0"
"18",4,"Baker Mayfield",TB,"10","3 out of 5","4 out of 5","2 out of 5 stars","0"
"19",4,"Jordan Love",GB,"11","4 out of 5","3 out of 5","4 out of 5 stars","0"
"20",4,"Tyler Shough",NO,"8","4 out of 5","2 out of 5","3 out of 5 stars","0"
"21",4,"Malik Willis",MIA,"6","4 out of 5","4 out of 5","3 out of 5 stars","0"
"22",5,"C.J. Stroud",HOU,"8","3 out of 5","4 out of 5","4 out of 5 stars","0"
"23",5,"Sam Darnold",SEA,"11","2 out of 5","4 out of 5","4 out of 5 stars","+1"
"24",5,"Daniel Jones",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"25",5,"Cam Ward",TEN,"9","4 out of 5","4 out of 5","3 out of 5 stars","0"
"26",5,"Bryce Young",CAR,"5","2 out of 5","4 out of 5","2 out of 5 stars","0"
"27",5,"Jacoby Brissett",ARI,"14","3 out of 5","5 out of 5","2 out of 5 stars","+3"
"28",5,"Geno Smith",NYJ,"13","2 out of 5","4 out of 5","4 out of 5 stars","+9"
"29",5,"Aaron Rodgers",PIT,"9","1 out of 5","4 out of 5","2 out of 5 stars","-1"
"30",5,"Fernando Mendoza",LV,"13","4 out of 5","3 out of 5","1 out of 5 stars","-3"
"31",5,"Tua Tagovailoa",ATL,"11","1 out of 5","4 out of 5","4 out of 5 stars","+1"
"32",5,"Michael Penix Jr.",ATL,"11","2 out of 5","5 out of 5","4 out of 5 stars","+1"
"33",5,"Shedeur Sanders",CLE,"11","3 out of 5","4 out of 5","4 out of 5 stars","-4"
"34",5,"Kirk Cousins",LV,"13","2 out of 5","4 out of 5","1 out of 5 stars","+2"
"35",5,"Deshaun Watson",CLE,"11","1 out of 5","5 out of 5","4 out of 5 stars","0"
"36",6,"J.J. McCarthy",MIN,"6","-","-","5 out of 5 stars","-5"
"37",6,"Carson Beck",ARI,"14","-","-","2 out of 5 stars","-3"
"38",6,"Mac Jones",SF,"8","-","-","1 out of 5 stars","+4"
"39",6,"Ty Simpson",LAR,"11","-","-","3 out of 5 stars","-1"
"40",6,"Justin Fields",KC,"5","-","-","2 out of 5 stars","+1"
"41",7,"Anthony Richardson Sr.",IND,"13","-","-","4 out of 5 stars","-"
"42",7,"Joe Flacco",CIN,"6","-","-","3 out of 5 stars","-3"
"43",7,"Marcus Mariota",WAS,"7","-","-","2 out of 5 stars","+11"
"44",7,"Jameis Winston",NYG,"8","-","-","4 out of 5 stars","-4"
"45",7,"Cade Klubnik",NYJ,"13","-","-","4 out of 5 stars","-"
"46",7,"Joe Milton III",DAL,"14","-","-","2 out of 5 stars","-1"
"47",7,"Quinn Ewers",MIA,"6","-","-","3 out of 5 stars","+9"
"48",7,"Riley Leonard",IND,"13","-","-","4 out of 5 stars","+9"
"49",7,"Tyrod Taylor",GB,"11","-","-","4 out of 5 stars","+9"
"50",7,"Gardner Minshew II",ARI,"14","-","-","2 out of 5 stars","-"
"51",7,"Trey Lance",LAC,"7","-","-","2 out of 5 stars","+1"
"52",7,"Spencer Rattler",NO,"8","-","-","3 out of 5 stars","-"
"53",7,"Davis Mills",HOU,"8","-","-","4 out of 5 stars","-"
"54",7,"Tyson Bagent",CHI,"10","-","-","3 out of 5 stars","-3"
"55",7,"Tyler Huntley",BAL,"13","-","-","3 out of 5 stars","-7"
"56",7,"Jarrett Stidham",DEN,"10","-","-","3 out of 5 stars","-"
"57",8,"Jalen Milroe",SEA,"11","-","-","4 out of 5 stars","-"
"58",8,"Kenny Pickett",CAR,"5","-","-","2 out of 5 stars","-5"
"59",8,"Mitchell Trubisky",TEN,"9","-","-","3 out of 5 stars","-"
"60",8,"Jake Browning",TB,"10","-","-","2 out of 5 stars","-10"
"61",8,"Drew Allar",PIT,"9","-","-","2 out of 5 stars","-15"
"62",8,"Dillon Gabriel",CLE,"11","-","-","4 out of 5 stars","-"
"63",8,"Kyle Allen",BUF,"7","-","-","3 out of 5 stars","-8"
"64",8,"Mason Rudolph",PIT,"9","-","-","2 out of 5 stars","-"
"65",8,"Carson Wentz",MIN,"6","-","-","5 out of 5 stars","-"
"66",8,"Tommy DeVito",NE,"11","-","-","2 out of 5 stars","-22"
"67",8,"Will Levis",TEN,"9","-","-","3 out of 5 stars","-"
"68",8,"Will Howard",PIT,"9","-","-","2 out of 5 stars","-"
"69",8,"Tanner McKee",PHI,"10","-","-","5 out of 5 stars","-"
"70",8,"Nick Mullens",JAC,"7","-","-","4 out of 5 stars","-"
"71",8,"Drew Lock",SEA,"11","-","-","4 out of 5 stars","-24"
"72",8,"Taylen Green",CLE,"11","-","-","4 out of 5 stars","-"
"73",8,"Sam Howell",DAL,"14","-","-","2 out of 5 stars","-"
"74",8,"Zach Wilson",NO,"8","-","-","3 out of 5 stars","-"
"75",8,"Brady Cook",NYJ,"13","-","-","4 out of 5 stars","-"
"76",8,"Jimmy Garoppolo",LAR,"11","-","-","3 out of 5 stars","-"
"77",8,"Garrett Nussmeier",KC,"5","-","-","2 out of 5 stars","-"
"78",8,"Andy Dalton",PHI,"10","-","-","5 out of 5 stars","-18"
"79",8,"Aidan O'Connell",LV,"13","-","-","1 out of 5 stars","-"
"80",9,"Joshua Dobbs",DET,"6","-","-","5 out of 5 stars","-"
"81",9,"Brandon Allen",NYG,"8","-","-","4 out of 5 stars","-"
"82",9,"Hendon Hooker",TEN,"9","-","-","3 out of 5 stars","-"
"83",9,"Josh Johnson",CIN,"6","-","-","3 out of 5 stars","-"
"84",9,"Sam Hartman",WAS,"7","-","-","2 out of 5 stars","-"
"85",9,"Sam Ehlinger",DEN,"10","-","-","3 out of 5 stars","-"
"86",9,"Case Keenum",CHI,"10","-","-","3 out of 5 stars","-"
"87",9,"Shane Buechele",BUF,"7","-","-","3 out of 5 stars","-"
"88",9,"Kyle McCord",GB,"11","-","-","4 out of 5 stars","-"
"89",9,"Skylar Thompson",BAL,"13","-","-","3 out of 5 stars","-"
"90",9,"Athan Kaliakmanis",WAS,"7","-","-","2 out of 5 stars","-"
"91",9,"Kurtis Rourke",SF,"8","-","-","1 out of 5 stars","-"
"92",9,"Adrian Martinez",SF,"8","-","-","1 out of 5 stars","-"
"93",9,"Max Brosmer",MIN,"6","-","-","5 out of 5 stars","-"
"94",9,"Behren Morton",NE,"11","-","-","2 out of 5 stars","-"
"95",9,"Cam Miller",MIA,"6","-","-","3 out of 5 stars","-"
"96",9,"Luke Altmyer",DET,"6","-","-","5 out of 5 stars","-"
"97",9,"Bailey Zappe",NYJ,"13","-","-","4 out of 5 stars","-"
"98",9,"DJ Uiagalelei",LAC,"7","-","-","2 out of 5 stars","-"
