"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Jahmyr Gibbs",DET,"6","5 out of 5","1 out of 5","5 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"11","5 out of 5","1 out of 5","2 out of 5 stars","0"
"3",1,"Christian McCaffrey",SF,"8","4 out of 5","4 out of 5","2 out of 5 stars","0"
"4",2,"Jonathan Taylor",IND,"13","4 out of 5","3 out of 5","4 out of 5 stars","0"
"5",2,"Ashton Jeanty",LV,"13","5 out of 5","2 out of 5","2 out of 5 stars","+2"
"6",2,"James Cook III",BUF,"7","4 out of 5","2 out of 5","2 out of 5 stars","-1"
"7",2,"Chase Brown",CIN,"6","5 out of 5","2 out of 5","2 out of 5 stars","+2"
"8",2,"De'Von Achane",MIA,"6","4 out of 5","4 out of 5","3 out of 5 stars","-2"
"9",3,"Omarion Hampton",LAC,"7","5 out of 5","3 out of 5","3 out of 5 stars","+1"
"10",3,"Saquon Barkley",PHI,"10","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"11",3,"Kenneth Walker III",KC,"5","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"12",3,"Derrick Henry",BAL,"13","4 out of 5","2 out of 5","3 out of 5 stars","-1"
"13",3,"Jeremiyah Love",ARI,"14","5 out of 5","2 out of 5","2 out of 5 stars","0"
"14",3,"Breece Hall",NYJ,"13","4 out of 5","3 out of 5","3 out of 5 stars","+3"
"15",3,"Kyren Williams",LAR,"11","4 out of 5","2 out of 5","5 out of 5 stars","0"
"16",4,"Josh Jacobs",GB,"11","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"17",4,"Javonte Williams",DAL,"14","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"18",4,"Travis Etienne Jr.",NO,"8","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"19",4,"Cam Skattebo",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"20",4,"Bucky Irving",TB,"10","3 out of 5","4 out of 5","2 out of 5 stars","0"
"21",4,"D'Andre Swift",CHI,"10","3 out of 5","3 out of 5","2 out of 5 stars","+2"
"22",4,"Quinshon Judkins",CLE,"11","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"23",4,"David Montgomery",HOU,"8","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"24",4,"TreVeyon Henderson",NE,"11","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"25",4,"Bhayshul Tuten",JAC,"7","4 out of 5","3 out of 5","4 out of 5 stars","0"
"26",5,"Jaylen Warren",PIT,"9","4 out of 5","4 out of 5","2 out of 5 stars","+1"
"27",5,"Jadarian Price",SEA,"11","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"28",5,"Tony Pollard",TEN,"9","4 out of 5","2 out of 5","3 out of 5 stars","0"
"29",5,"Rhamondre Stevenson",NE,"11","3 out of 5","3 out of 5","2 out of 5 stars","+2"
"30",5,"Rico Dowdle",PIT,"9","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"31",5,"Chuba Hubbard",CAR,"5","2 out of 5","4 out of 5","1 out of 5 stars","+1"
"32",5,"RJ Harvey",DEN,"10","2 out of 5","4 out of 5","2 out of 5 stars","-2"
"33",5,"Jonathon Brooks",CAR,"5","4 out of 5","4 out of 5","1 out of 5 stars","+3"
"34",5,"Kenny Gainwell",TB,"10","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"35",5,"J.K. Dobbins",DEN,"10","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"36",5,"Kyle Monangai",CHI,"10","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"37",5,"Rachaad White",WAS,"7","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"38",6,"Blake Corum",LAR,"11","4 out of 5","4 out of 5","5 out of 5 stars","-1"
"39",6,"Aaron Jones Sr.",MIN,"6","1 out of 5","4 out of 5","4 out of 5 stars","0"
"40",6,"Jacory Croskey-Merritt",WAS,"7","3 out of 5","4 out of 5","4 out of 5 stars","0"
"41",6,"Jordan Mason",MIN,"6","4 out of 5","4 out of 5","4 out of 5 stars","0"
"42",6,"Tyrone Tracy Jr.",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"43",6,"Woody Marks",HOU,"8","3 out of 5","4 out of 5","4 out of 5 stars","0"
"44",6,"Chris Rodriguez Jr.",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"45",6,"Tyler Allgeier",ARI,"14","3 out of 5","4 out of 5","2 out of 5 stars","+2"
"46",6,"Tyjae Spears",TEN,"9","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"47",6,"Zach Charbonnet",SEA,"11","3 out of 5","4 out of 5","4 out of 5 stars","-5"
"48",6,"Alvin Kamara",NO,"8","3 out of 5","4 out of 5","3 out of 5 stars","-2"
"49",6,"Dylan Sampson",CLE,"11","4 out of 5","2 out of 5","3 out of 5 stars","+5"
"50",6,"Isiah Pacheco",DET,"6","3 out of 5","4 out of 5","5 out of 5 stars","-2"
"51",6,"Keaton Mitchell",LAC,"7","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"52",7,"Tank Bigsby",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","-1"
