"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Trey McBride",ARI,"14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"2",1,"Brock Bowers",LV,"13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"3",1,"Colston Loveland",CHI,"10","5 out of 5","2 out of 5","2 out of 5 stars","0"
"4",1,"Tyler Warren",IND,"13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"5",2,"Tucker Kraft",GB,"11","5 out of 5","2 out of 5","2 out of 5 stars","+1"
"6",2,"Harold Fannin Jr.",CLE,"11","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"7",2,"Kyle Pitts Sr.",ATL,"11","4 out of 5","4 out of 5","3 out of 5 stars","0"
"8",2,"Sam LaPorta",DET,"6","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"9",3,"Travis Kelce",KC,"5","3 out of 5","3 out of 5","4 out of 5 stars","+1"
"10",3,"George Kittle",SF,"8","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"11",3,"Dalton Kincaid",BUF,"7","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"12",3,"Jake Ferguson",DAL,"14","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"13",3,"Isaiah Likely",NYG,"8","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"14",3,"Dallas Goedert",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"15",3,"Mark Andrews",BAL,"13","4 out of 5","4 out of 5","4 out of 5 stars","0"
"16",4,"Juwan Johnson",NO,"8","4 out of 5","4 out of 5","2 out of 5 stars","0"
"17",4,"Chig Okonkwo",WAS,"7","4 out of 5","4 out of 5","1 out of 5 stars","+4"
"18",4,"Brenton Strange",JAC,"7","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"19",4,"Hunter Henry",NE,"11","2 out of 5","4 out of 5","4 out of 5 stars","-1"
"20",4,"Dalton Schultz",HOU,"8","3 out of 5","2 out of 5","4 out of 5 stars","+3"
"21",4,"Oronde Gadsden II",LAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"22",4,"T.J. Hockenson",MIN,"6","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"23",4,"AJ Barner",SEA,"11","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"24",4,"Kenyon Sadiq",NYJ,"13","3 out of 5","4 out of 5","4 out of 5 stars","-4"
"25",4,"Gunnar Helm",TEN,"9","3 out of 5","4 out of 5","3 out of 5 stars","+5"
"26",4,"Terrance Ferguson",LAR,"11","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"27",5,"Pat Freiermuth",PIT,"9","3 out of 5","3 out of 5","2 out of 5 stars","+2"
"28",5,"Cade Otton",TB,"10","3 out of 5","4 out of 5","2 out of 5 stars","-1"
"29",5,"Evan Engram",DEN,"10","-","-","4 out of 5 stars","+13"
"30",5,"David Njoku",LAC,"7","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"31",5,"Colby Parkinson",LAR,"11","-","-","4 out of 5 stars","+5"
"32",5,"Eli Stowers",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"33",5,"Oscar Delp",NO,"8","4 out of 5","4 out of 5","2 out of 5 stars","+31"
