"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"2",1,"Puka Nacua",LAR,"11","5 out of 5","2 out of 5","1 out of 5 stars","0"
"3",1,"Jaxon Smith-Njigba",SEA,"11","5 out of 5","2 out of 5","3 out of 5 stars","0"
"4",1,"Amon-Ra St. Brown",DET,"6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"5",2,"CeeDee Lamb",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"6",2,"Justin Jefferson",MIN,"6","4 out of 5","2 out of 5","5 out of 5 stars","0"
"7",2,"Drake London",ATL,"11","5 out of 5","2 out of 5","3 out of 5 stars","0"
"8",2,"A.J. Brown",NE,"11","5 out of 5","2 out of 5","2 out of 5 stars","0"
"9",2,"Nico Collins",HOU,"8","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"10",3,"George Pickens",DAL,"14","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"11",3,"Chris Olave",NO,"8","4 out of 5","4 out of 5","3 out of 5 stars","+2"
"12",3,"Rashee Rice",KC,"5","5 out of 5","4 out of 5","2 out of 5 stars","-1"
"13",3,"DeVonta Smith",PHI,"10","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"14",3,"Malik Nabers",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"15",3,"Zay Flowers",BAL,"13","5 out of 5","2 out of 5","4 out of 5 stars","+1"
"16",3,"Garrett Wilson",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+2"
"17",3,"Tetairoa McMillan",CAR,"5","3 out of 5","4 out of 5","2 out of 5 stars","0"
"18",3,"Tee Higgins",CIN,"6","5 out of 5","2 out of 5","4 out of 5 stars","+1"
"19",3,"Ladd McConkey",LAC,"7","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"20",4,"Jaylen Waddle",DEN,"10","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"21",4,"Emeka Egbuka",TB,"10","5 out of 5","3 out of 5","4 out of 5 stars","-6"
"22",4,"Terry McLaurin",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","+2"
"23",4,"Luther Burden III",CHI,"10","4 out of 5","4 out of 5","3 out of 5 stars","0"
"24",4,"Davante Adams",LAR,"11","3 out of 5","4 out of 5","1 out of 5 stars","-2"
"25",4,"DJ Moore",BUF,"7","4 out of 5","2 out of 5","4 out of 5 stars","0"
"26",4,"Mike Evans",SF,"8","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"27",4,"Jameson Williams",DET,"6","4 out of 5","3 out of 5","4 out of 5 stars","-1"
"28",4,"Christian Watson",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","+2"
"29",5,"Rome Odunze",CHI,"10","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"30",5,"Carnell Tate",TEN,"9","4 out of 5","2 out of 5","3 out of 5 stars","-1"
"31",5,"Parker Washington",JAC,"7","4 out of 5","2 out of 5","4 out of 5 stars","+4"
"32",5,"Marvin Harrison Jr.",ARI,"14","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"33",5,"Brian Thomas Jr.",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","-1"
"34",5,"DK Metcalf",PIT,"9","3 out of 5","3 out of 5","3 out of 5 stars","0"
"35",5,"Chris Godwin Jr.",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","+6"
"36",5,"Michael Pittman Jr.",PIT,"9","3 out of 5","4 out of 5","3 out of 5 stars","+4"
"37",5,"Jordyn Tyson",NO,"8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"38",5,"Josh Downs",IND,"13","4 out of 5","3 out of 5","4 out of 5 stars","+7"
"39",5,"Courtland Sutton",DEN,"10","2 out of 5","4 out of 5","2 out of 5 stars","-6"
"40",5,"Wan'Dale Robinson",TEN,"9","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"41",5,"Michael Wilson",ARI,"14","-","-","2 out of 5 stars","-3"
"42",5,"Alec Pierce",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-6"
"43",6,"Quentin Johnston",LAC,"7","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"44",6,"Makai Lemon",PHI,"10","4 out of 5","3 out of 5","4 out of 5 stars","-2"
"45",6,"Jakobi Meyers",JAC,"7","2 out of 5","3 out of 5","4 out of 5 stars","-2"
"46",6,"Jordan Addison",MIN,"6","4 out of 5","4 out of 5","5 out of 5 stars","0"
"47",6,"Jayden Reed",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","0"
"48",6,"Khalil Shakir",BUF,"7","1 out of 5","4 out of 5","4 out of 5 stars","+6"
"49",6,"Jayden Higgins",HOU,"8","4 out of 5","2 out of 5","3 out of 5 stars","+6"
"50",6,"Jalen Coker",CAR,"5","4 out of 5","3 out of 5","2 out of 5 stars","+7"
"51",6,"Stefon Diggs",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","-2"
"52",6,"KC Concepcion",CLE,"11","4 out of 5","4 out of 5","3 out of 5 stars","-2"
"53",6,"Xavier Worthy",KC,"5","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"54",6,"Romeo Doubs",NE,"11","4 out of 5","3 out of 5","2 out of 5 stars","-3"
"55",6,"Matthew Golden",GB,"11","3 out of 5","4 out of 5","5 out of 5 stars","-7"
"56",6,"Rashid Shaheed",SEA,"11","3 out of 5","4 out of 5","3 out of 5 stars","0"
"57",7,"Deebo Samuel Sr.",SF,"8","4 out of 5","3 out of 5","2 out of 5 stars","-4"
"58",7,"Jerry Jeudy",CLE,"11","2 out of 5","4 out of 5","3 out of 5 stars","+4"
"59",7,"Denzel Boston",CLE,"11","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"60",7,"Adonai Mitchell",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+14"
"61",7,"De'Zhaun Stribling",SF,"8","4 out of 5","4 out of 5","2 out of 5 stars","-2"
"62",7,"Jauan Jennings",MIN,"6","2 out of 5","4 out of 5","5 out of 5 stars","+5"
"63",7,"Omar Cooper Jr.",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+6"
"64",7,"Jalen McMillan",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"65",7,"Tre Tucker",LV,"13","4 out of 5","2 out of 5","2 out of 5 stars","-1"
"66",7,"Tre' Harris",LAC,"7","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"67",7,"Travis Hunter",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","+4"
"68",7,"Ryan Flournoy",DAL,"14","4 out of 5","3 out of 5","2 out of 5 stars","+15"
"69",7,"Dontayvion Wicks",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","+18"
"70",7,"Jalen Nailor",LV,"13","-","-","2 out of 5 stars","-9"
"71",7,"Pat Bryant",DEN,"10","-","-","2 out of 5 stars","+31"
"72",7,"Calvin Ridley",TEN,"9","2 out of 5","4 out of 5","3 out of 5 stars","-6"
"73",7,"Kayshon Boutte",NE,"11","3 out of 5","4 out of 5","2 out of 5 stars","-3"
"74",7,"Malik Washington",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","-2"
"75",7,"Jaylin Noel",HOU,"8","4 out of 5","4 out of 5","3 out of 5 stars","+15"
"76",7,"Troy Franklin",DEN,"10","1 out of 5","4 out of 5","2 out of 5 stars","+20"
"77",7,"Rashod Bateman",BAL,"13","2 out of 5","4 out of 5","4 out of 5 stars","+12"
"78",7,"Darnell Mooney",NYG,"8","3 out of 5","4 out of 5","4 out of 5 stars","+6"
"79",7,"Tank Dell",HOU,"8","4 out of 5","4 out of 5","3 out of 5 stars","-19"
"80",8,"Isaac TeSlaa",DET,"6","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"81",8,"Cooper Kupp",SEA,"11","3 out of 5","4 out of 5","3 out of 5 stars","-13"
"82",8,"Zachariah Branch",ATL,"11","3 out of 5","4 out of 5","3 out of 5 stars","-4"
"83",8,"Antonio Williams",WAS,"7","4 out of 5","3 out of 5","2 out of 5 stars","-8"
"84",8,"Jack Bech",LV,"13","3 out of 5","4 out of 5","2 out of 5 stars","+13"
"85",8,"Germie Bernard",PIT,"9","2 out of 5","4 out of 5","3 out of 5 stars","+7"
"86",8,"Elic Ayomanor",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","+2"
"87",8,"Chimere Dike",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","+27"
"88",8,"Keon Coleman",BUF,"7","2 out of 5","4 out of 5","4 out of 5 stars","+10"
"89",8,"Tory Horton",SEA,"11","4 out of 5","4 out of 5","3 out of 5 stars","+5"
"90",8,"Chris Bell",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","+14"
"91",8,"Christian Kirk",SF,"8","2 out of 5","4 out of 5","2 out of 5 stars","-11"
"92",8,"Malachi Fields",NYG,"8","4 out of 5","3 out of 5","4 out of 5 stars","-15"
"93",8,"Elijah Sarratt",BAL,"13","3 out of 5","4 out of 5","4 out of 5 stars","+17"
"94",8,"Ted Hurst III",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"95",8,"Tyquan Thornton",KC,"5","2 out of 5","4 out of 5","2 out of 5 stars","+48"
"96",8,"Darius Slayton",NYG,"8","3 out of 5","4 out of 5","4 out of 5 stars","+38"
"97",8,"Xavier Legette",CAR,"5","2 out of 5","4 out of 5","2 out of 5 stars","+40"
"98",8,"Marvin Mims Jr.",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","-5"
"99",8,"Devaughn Vele",NO,"8","-","-","3 out of 5 stars","+26"
"100",8,"Ja'Kobi Lane",BAL,"13","3 out of 5","4 out of 5","4 out of 5 stars","-27"
"101",8,"Hollywood Brown",PHI,"10","-","-","4 out of 5 stars","+2"
"102",8,"Keenan Allen",LAC,"7","2 out of 5","4 out of 5","2 out of 5 stars","-20"
"103",8,"Kyle Williams",NE,"11","-","-","2 out of 5 stars","-17"
"104",9,"Isaiah Bond",CLE,"11","-","-","3 out of 5 stars","+50"
"105",9,"Skyler Bell",BUF,"7","-","-","4 out of 5 stars","+3"
"106",9,"Mack Hollins",NE,"11","-","-","2 out of 5 stars","+10"
"107",9,"Brandon Aiyuk",SF,"8","2 out of 5","5 out of 5","2 out of 5 stars","-22"
"108",9,"Caleb Douglas",MIA,"6","-","-","3 out of 5 stars","-17"
"109",9,"Tyreek Hill",FA,"-","1 out of 5","5 out of 5","-","-44"
"110",9,"Andrei Iosivas",CIN,"6","-","-","4 out of 5 stars","+18"
"111",9,"Cyrus Allen",KC,"5","-","-","2 out of 5 stars","-35"
"112",9,"Jalen Tolbert",MIA,"6","-","-","3 out of 5 stars","-12"
"113",9,"Luke McCaffrey",WAS,"7","-","-","2 out of 5 stars","-2"
"114",9,"Tez Johnson",TB,"10","-","-","4 out of 5 stars","-"
"115",9,"Cedric Tillman",CLE,"11","-","-","3 out of 5 stars","-"
"116",9,"Calvin Austin III",NYG,"8","-","-","4 out of 5 stars","+6"
"117",9,"DeMario Douglas",NE,"11","-","-","2 out of 5 stars","+2"
"118",9,"Jahan Dotson",ATL,"11","-","-","3 out of 5 stars","+22"
"119",9,"Jalen Royals",KC,"5","-","-","2 out of 5 stars","-"
"120",9,"Olamide Zaccheaus",ATL,"11","-","-","3 out of 5 stars","+32"
"121",9,"Konata Mumpfield",LAR,"11","-","-","1 out of 5 stars","+26"
"122",9,"Chris Brazzell II",CAR,"5","-","-","2 out of 5 stars","+40"
"123",9,"Joshua Palmer",BUF,"7","-","-","4 out of 5 stars","-5"
"124",10,"Treylon Burks",WAS,"7","-","-","2 out of 5 stars","+33"
"125",10,"Brenen Thompson",LAC,"7","-","-","2 out of 5 stars","-"
"126",10,"Bryce Lance",NO,"8","-","-","3 out of 5 stars","-"
"127",10,"Kendrick Bourne",ARI,"14","-","-","2 out of 5 stars","+34"
"128",10,"Savion Williams",GB,"11","-","-","5 out of 5 stars","-"
"129",10,"Tutu Atwell",MIA,"6","-","-","3 out of 5 stars","+20"
"130",10,"Jaylin Lane",WAS,"7","-","-","2 out of 5 stars","+29"
"131",10,"Kevin Coleman Jr.",MIA,"6","-","-","3 out of 5 stars","+24"
"132",10,"John Metchie III",CAR,"5","-","-","2 out of 5 stars","-37"
"133",10,"Xavier Hutchinson",HOU,"8","-","-","3 out of 5 stars","+27"
"134",10,"Dont'e Thornton Jr.",LV,"13","-","-","2 out of 5 stars","+24"
