rank|name|team|pos|bye|adp|cons|inj|oline|sos113|sos1416
1|Ja'Marr Chase|CIN|WR|6|3|3||B-|79|88
2|Puka Nacua|LAR|WR|11|4|4||A|58|83
3|Bijan Robinson|ATL|RB|11|2|2||B+|72|62
4|Jahmyr Gibbs|DET|RB|6|1|1|Inj|B+|78|82
5|Jonathan Taylor|IND|RB|13|7|8||B+|70|70
6|James Cook|BUF|RB|7|10|11||A-|69|65
7|Christian McCaffrey|SFO|RB|8|5|7||B+|69|53
8|Jaxon Smith-Njigba|SEA|WR|11|6|5||A-|66|49
9|De'Von Achane|MIA|RB|6|13|13||C+|71|84
10|Amon-Ra St-Brown|DET|WR|6|8|6||B+|65|50
11|Justin Jefferson|MIN|WR|6|12|10||D|75|65
12|Ashton Jeanty|LVR|RB|13|9|12||D|65|50
13|Ceedee Lamb|DAL|WR|14|11|9||A-|72|76
14|Trey McBride|ARI|TE|14|23|25||C-|64|55
15|Saquon Barkley|PHI|RB|10|14|14||B+|73|42
16|Brock Bowers|LVR|TE|13|21|17||D|60|65
17|Kenneth Walker|KAN|RB|5|18|18||C|67|55
18|Nico Collins|HOU|WR|8|24|19||C+|80|76
19|Malik Nabers|NYG|WR|8|28|26|Inj|B-|73|82
20|Chase Brown|CIN|RB|6|17|20||B-|68|77
21|Drake London|ATL|WR|11|15|15||B+|71|64
22|George Pickens|DAL|WR|14|25|22||A-|72|76
23|Omarion Hampton|LAC|RB|7|16|16||B-|62|67
24|AJ Brown|NWE|WR|11|22|21||B+|65|52
25|Colston Loveland|CHI|TE|10|43|38||A|68|66
26|Travis Etienne|NOR|RB|8|41|46||C+|79|76
27|Tetairoa McMillan|CAR|WR|5|36|40||B|69|77
28|Derrick Henry|BAL|RB|13|19|23||C+|70|73
29|Chris Olave|NOR|WR|8|29|29||C+|69|79
30|Tee Higgins|CIN|WR|6|38|33||B-|79|88
31|Josh Allen|BUF|QB|7|20|28||A-|70|67
32|Breece Hall|NYJ|RB|13|31|31||C|74|72
33|Jeremiyah Love|ARI|RB|14|26|24|R|C-|57|83
34|Cam Skattebo|NYG|RB|8|42|42||B-|61|75
35|Josh Jacobs|GNB|RB|11|32|37|Inj|C|75|74
36|Javonte Williams|DAL|RB|14|35|39||A-|66|68
37|Devonta Smith|PHI|WR|10|33|30|Inj|B+|80|71
38|Rashee Rice|KAN|WR|5|27|27||C|65|68
39|Garrett Wilson|NYJ|WR|13|37|36||C|66|64
40|Zay Flowers|BAL|WR|13|34|32|Inj|C+|73|81
41|Lamar Jackson|BAL|QB|13|39|44||C+|73|81
42|Kyren Williams|LAR|RB|11|30|35||A|69|61
43|Quinshon Judkins|CLE|RB|11|52|49||C-|67|86
44|Bucky Irving|TAM|RB|10|51|51||B|78|73
45|David Montgomery|HOU|RB|8|58|58||C+|75|77
46|Emeka Egbuka|TAM|WR|10|40|34||B|72|63
47|Ladd McConkey|LAC|WR|7|46|41||B-|68|72
48|Bhayshul Tuten|JAC|RB|7|60|55||C|68|72
49|Jameson Williams|DET|WR|6|57|47||B+|65|50
50|Rome Odunze|CHI|WR|10|62|65||A|68|66
51|Luther Burden|CHI|WR|10|47|43|Inj|A|68|66
52|Jadarian Price|SEA|RB|11|65|64|R,Inj|A-|66|67
53|Drake Maye|NWE|QB|11|44|52||B+|65|52
54|D'Andre Swift|CHI|RB|10|53|54||A|70|84
55|Joe Burrow|CIN|QB|6|48|59||B-|79|88
56|Jaylen Waddle|DEN|WR|10|45|45|Inj|A-|68|60
57|DJ Moore|BUF|WR|7|61|60||A-|70|67
58|Chuba Hubbard|CAR|RB|5|81|80||B|71|53
59|Treveyon Henderson|NWE|RB|11|54|56||B+|77|54
60|Tony Pollard|TEN|RB|9|79|79||D|74|75
61|Jayden Daniels|WAS|QB|7|56|53||C+|69|72
62|Terry McLaurin|WAS|WR|7|55|50||C+|69|72
63|Jaylen Warren|PIT|RB|9|71|76||B|69|70
64|Jalen Hurts|PHI|QB|10|59|66||B+|80|71
65|Marvin Harrison|ARI|WR|14|72|75||C-|64|55
66|Rhamondre Stevenson|NWE|RB|11|82|70||B+|77|54
67|RJ Harvey|DEN|RB|10|88|87||A-|61|83
68|Carnell Tate|TEN|WR|9|67|67|R|D|80|90
69|Tyler Warren|IND|TE|13|49|61||B+|74|68
70|Davante Adams|LAR|WR|11|50|48||A|58|83
71|Alec Pierce|IND|WR|13|84|83|Inj|B+|74|68
72|Caleb Williams|CHI|QB|10|68|71||A|68|66
73|Rico Dowdle|PIT|RB|9|87|85||B|69|70
74|Mike Evans|SFO|WR|8|63|62|Inj|B+|68|37
75|Harold Fannin|CLE|TE|11|66|77||C-|77|90
