rank|name|team|pos|avg
1|J. Gibbs|DET|RB|1.0
2|B. Robinson|ATL|RB|2.2
3|J. Chase|CIN|WR|2.8
4|P. Nacua|LAR|WR|4.2
5|C. McCaffrey|SF|RB|5.8
6|A. St. Brown|DET|WR|6.5
7|J. Smith-Njigba|SEA|WR|7.0
8|J. Taylor|IND|RB|7.2
9|C. Lamb|DAL|WR|10.2
10|J. Cook III|BUF|RB|11.0
11|S. Barkley|PHI|RB|12.0
12|J. Jefferson|MIN|WR|12.2
13|K. Walker III|KC|RB|14.0
14|A. Jeanty|LV|RB|14.3
15|C. Brown|CIN|RB|15.0
16|D. Achane|MIA|RB|17.0
17|D. London|ATL|WR|17.3
18|O. Hampton|LAC|RB|17.7
19|D. Henry|BAL|RB|18.7
20|B. Bowers|LV|TE|19.7
21|N. Collins|HOU|WR|21.3
22|G. Pickens|DAL|WR|21.5
23|A.J. Brown|NE|WR|23.3
24|M. Nabers|NYG|WR|25.3
25|D. Smith|PHI|WR|25.3
26|J. Love|ARI|RB|29.2
27|B. Hall|NYJ|RB|29.7
28|J. Allen|BUF|QB|29.7
29|T. Higgins|CIN|WR|29.8
30|Z. Flowers|BAL|WR|31.2
31|K. Williams|LAR|RB|31.8
32|T. McBride|ARI|TE|32.0
33|J. Waddle|DEN|WR|32.7
34|C. Olave|NO|WR|33.0
35|R. Rice|KC|WR|34.7
36|J. Williams|DAL|RB|36.2
37|J. Jacobs|GB|RB|37.3
38|E. Egbuka|TB|WR|37.3
39|C. Loveland|CHI|TE|37.7
40|T. McMillan|CAR|WR|38.3
41|L. McConkey|LAC|WR|39.2
42|G. Wilson|NYJ|WR|39.3
43|D. Swift|CHI|RB|44.7
44|T. Etienne Jr.|NO|RB|45.2
45|T. McLaurin|WAS|WR|46.8
46|L. Burden III|CHI|WR|47.2
47|C. Skattebo|NYG|RB|47.2
48|T. Warren|IND|TE|49.5
49|L. Jackson|BAL|QB|50.2
50|D. Montgomery|HOU|RB|51.2
51|DJ Moore|BUF|WR|51.8
52|Q. Judkins|CLE|RB|52.0
53|R. Odunze|CHI|WR|52.2
54|C. Watson|GB|WR|52.3
55|J. Williams|DET|WR|54.2
56|D. Adams|LAR|WR|54.5
57|B. Tuten|JAC|RB|55.7
58|M. Evans|SF|WR|55.8
59|P. Washington|JAC|WR|58.8
60|B. Irving|TB|RB|59.0
61|D. Maye|NE|QB|61.7
62|J. Daniels|WAS|QB|62.5
63|J. Burrow|CIN|QB|63.7
64|T. Henderson|NE|RB|64.7
65|J. Hurts|PHI|QB|67.3
66|J. Price|SEA|RB|67.7
67|M. Harrison Jr.|ARI|WR|69.8
68|R. Stevenson|NE|RB|70.3
69|T. Kraft|GB|TE|71.2
70|B. Thomas Jr.|JAC|WR|72.0
71|S. LaPorta|DET|TE|72.2
72|C. Tate|TEN|WR|73.2
73|C. Williams|CHI|QB|73.3
74|J. Warren|PIT|RB|74.0
75|J. Herbert|LAC|QB|74.2
76|T. Pollard|TEN|RB|78.5
77|J. Brooks|CAR|RB|78.5
78|J. Tyson|NO|WR|78.8
79|H. Fannin Jr.|CLE|TE|79.8
80|DK Metcalf|PIT|WR|81.0
81|T. Lawrence|JAC|QB|83.5
82|J. Downs|IND|WR|83.8
83|D. Prescott|DAL|QB|84.5
84|K. Pitts Sr.|ATL|TE|86.3
